Product_id,Price,Sale,weight,Screen_size,ppi,cpu core,cpu freq,internal mem,RearCam,Front_Cam,battery,thickness
10,1950,26,144.3012048192771,5.0,187,4.0,1.3,8.0,8.0,2.0,2000,6.4
14,2276,98,144.3012048192771,5.0,294,8.0,1.5,16.0,13.0,5.0,2300,7.8
30,2975,307,149.0,5.5,534,8.0,1.6,32.0,16.0,8.0,3000,7.0
32,1921,921,179.0,6.0,184,4.0,1.3,8.0,13.0,8.0,2580,8.0
40,1916,10,144.3012048192771,4.7,312,4.0,1.2,8.0,13.0,5.0,2000,7.6
43,1347,67,152.0,7.0,170,2.0,1.3,4.0,2.0,0.9,2820,9.1
56,2044,93,152.0,8.0,283,8.0,2.0,8.0,5.0,2.0,4060,7.3
64,754,0,144.3012048192771,2.4,167,1.0,0.208,4.0,12.0,0.9,2700,12.4
66,1396,114,152.0,7.0,170,4.0,1.2,4.0,3.0,0.9,3240,9.0
93,1984,57,154.0,5.0,294,4.0,1.0,8.0,8.0,5.0,3140,8.1
99,1315,14,144.3012048192771,4.0,233,2.0,1.3,4.0,3.15,0.9,2700,11.0
104,1942,34,144.3012048192771,4.7,469,4.0,2.15,16.0,16.0,4.0,2200,10.3
131,1831,156,154.0,5.0,294,4.0,1.2,8.0,13.0,5.0,2100,8.4
133,2744,214,142.0,5.0,440,8.0,1.25,16.0,16.0,8.0,2700,8.0
143,3287,367,170.0,5.5,401,8.0,2.0,32.0,12.0,13.0,5000,8.0
162,1843,41,144.3012048192771,4.5,218,4.0,1.3,8.0,5.0,4.0,1600,10.1
183,1522,204,160.0,5.0,220,2.0,1.2,8.0,8.0,0.9,2500,10.8
187,2258,26,150.0,5.0,441,4.0,2.3,16.0,13.0,2.0,2300,10.0
198,1734,89,144.3012048192771,4.5,245,4.0,1.2,4.0,8.0,1.2,1840,8.5
203,2357,10,144.3012048192771,5.2,424,8.0,1.35,16.0,13.0,8.0,2610,7.4
218,2323,87,144.3012048192771,4.8,306,8.0,1.7,16.0,8.0,5.0,2100,5.1
237,1646,141,152.0,8.0,160,4.0,1.2,8.0,5.0,5.0,4500,9.0
289,2438,21,162.0,5.3,277,8.0,1.5,32.0,13.0,8.0,4000,7.7
290,4361,3291,152.0,5.7,515,8.0,1.95,64.0,12.0,8.0,2700,7.4
301,2445,678,152.0,5.0,294,4.0,1.3,32.0,8.0,5.0,4000,8.5
315,2938,25,168.0,5.5,534,4.0,1.875,32.0,12.3,8.0,3450,8.5
377,2409,1043,160.0,5.0,441,4.0,2.3,32.0,4.0,5.0,2600,9.4
409,2880,418,145.0,5.1,432,8.0,2.1,32.0,20.0,8.0,3200,7.0
460,1734,382,144.3012048192771,4.0,245,4.0,1.2,4.0,5.0,2.0,1730,10.9
497,2266,615,144.3012048192771,5.0,294,8.0,1.4,8.0,8.0,8.0,1900,6.3
563,2824,73,175.0,5.5,401,6.0,1.53,32.0,21.0,8.0,3500,9.3
575,1777,45,174.0,5.5,178,4.0,1.3,4.0,5.0,1.2,2250,9.2
577,2746,75,158.0,5.5,401,4.0,1.83,64.0,13.0,5.0,4000,8.5
