Price,ppi,cpu core,cpu freq,internal mem,RearCam,Front_Cam,battery,thickness,Performance_score,Camera_score,weight_Heavy,weight_Light,weight_Medium
1950,187,4.0,1.3,8.0,8.0,2.0,2000,6.4,5.2,6.199999999999999,0.0,1.0,0.0
2276,294,8.0,1.5,16.0,13.0,5.0,2300,7.8,12.0,10.6,0.0,1.0,0.0
2975,534,8.0,1.6,32.0,16.0,8.0,3000,7.0,12.8,13.6,0.0,0.0,1.0
1921,184,4.0,1.3,8.0,13.0,8.0,2580,8.0,5.2,11.5,1.0,0.0,0.0
1916,312,4.0,1.2,8.0,13.0,5.0,2000,7.6,4.8,10.6,0.0,1.0,0.0
1347,170,2.0,1.3,4.0,2.0,0.9,2820,9.1,2.6,1.67,0.0,0.0,1.0
2044,283,8.0,2.0,8.0,5.0,2.0,4060,7.3,16.0,4.1,0.0,0.0,1.0
754,167,1.0,0.208,4.0,12.0,0.9,2700,12.4,0.208,8.669999999999998,0.0,1.0,0.0
1396,170,4.0,1.2,4.0,3.0,0.9,3240,9.0,4.8,2.3699999999999997,0.0,0.0,1.0
1984,294,4.0,1.0,8.0,8.0,5.0,3140,8.1,4.0,7.1,0.0,0.0,1.0
1315,233,2.0,1.3,4.0,3.15,0.9,2700,11.0,2.6,2.4749999999999996,0.0,1.0,0.0
1942,469,4.0,2.15,16.0,16.0,4.0,2200,10.3,8.6,12.399999999999999,0.0,1.0,0.0
1831,294,4.0,1.2,8.0,13.0,5.0,2100,8.4,4.8,10.6,0.0,0.0,1.0
2744,440,8.0,1.25,16.0,16.0,8.0,2700,8.0,10.0,13.6,0.0,1.0,0.0
3287,401,8.0,2.0,32.0,12.0,13.0,5000,8.0,16.0,12.299999999999999,1.0,0.0,0.0
1843,218,4.0,1.3,8.0,5.0,4.0,1600,10.1,5.2,4.7,0.0,1.0,0.0
1522,220,2.0,1.2,8.0,8.0,0.9,2500,10.8,2.4,5.869999999999999,0.0,0.0,1.0
2258,441,4.0,2.3,16.0,13.0,2.0,2300,10.0,9.2,9.7,0.0,0.0,1.0
1734,245,4.0,1.2,4.0,8.0,1.2,1840,8.5,4.8,5.96,0.0,1.0,0.0
2357,424,8.0,1.35,16.0,13.0,8.0,2610,7.4,10.8,11.5,0.0,1.0,0.0
2323,306,8.0,1.7,16.0,8.0,5.0,2100,5.1,13.6,7.1,0.0,1.0,0.0
1646,160,4.0,1.2,8.0,5.0,5.0,4500,9.0,4.8,5.0,0.0,0.0,1.0
2438,277,8.0,1.5,32.0,13.0,8.0,4000,7.7,12.0,11.5,1.0,0.0,0.0
4361,515,8.0,1.95,64.0,12.0,8.0,2700,7.4,15.6,10.799999999999999,0.0,0.0,1.0
2445,294,4.0,1.3,32.0,8.0,5.0,4000,8.5,5.2,7.1,0.0,0.0,1.0
2938,534,4.0,1.875,32.0,12.3,8.0,3450,8.5,7.5,11.01,1.0,0.0,0.0
2409,441,4.0,2.3,32.0,4.0,5.0,2600,9.4,9.2,4.3,0.0,0.0,1.0
2880,432,8.0,2.1,32.0,20.0,8.0,3200,7.0,16.8,16.4,0.0,0.0,1.0
1734,245,4.0,1.2,4.0,5.0,2.0,1730,10.9,4.8,4.1,0.0,1.0,0.0
2266,294,8.0,1.4,8.0,8.0,8.0,1900,6.3,11.2,8.0,0.0,1.0,0.0
2824,401,6.0,1.53,32.0,21.0,8.0,3500,9.3,9.18,17.099999999999998,1.0,0.0,0.0
1777,178,4.0,1.3,4.0,5.0,1.2,2250,9.2,5.2,3.86,1.0,0.0,0.0
2746,401,4.0,1.83,64.0,13.0,5.0,4000,8.5,7.32,10.6,0.0,0.0,1.0
2006,200,8.0,1.4,4.0,5.0,1.0,2500,8.9,11.2,3.8,1.0,0.0,0.0
2174,294,4.0,1.3,16.0,13.0,5.0,2000,8.2,5.2,10.6,0.0,1.0,0.0
2858,513,4.0,1.875,32.0,16.0,5.0,3200,7.6,7.5,12.7,1.0,0.0,0.0
2124,224,4.0,2.26,16.0,5.0,2.0,2700,7.8,9.04,4.1,0.0,0.0,1.0
2466,534,4.0,2.7,32.0,13.0,2.1,3000,9.1,10.8,9.73,0.0,0.0,1.0
628,128,1.0,0.208,4.0,1.3,0.9,2700,18.5,0.208,1.18,0.0,1.0,0.0
2685,386,8.0,1.8,32.0,21.0,5.0,3050,7.5,14.4,16.2,1.0,0.0,0.0
1989,294,4.0,1.3,16.0,13.0,5.0,2500,8.7,5.2,10.6,0.0,1.0,0.0
1302,235,2.0,1.2,8.0,2.0,0.9,1500,10.6,2.4,1.67,0.0,1.0,0.0
1238,233,2.0,1.2,8.0,2.0,0.9,1560,11.7,2.4,1.67,0.0,1.0,0.0
1390,220,4.0,1.2,8.0,5.0,5.0,1905,8.8,4.8,5.0,0.0,0.0,1.0
2054,403,8.0,1.35,16.0,21.0,5.0,3630,10.9,10.8,16.2,1.0,0.0,0.0
1741,245,4.0,1.2,8.0,5.0,1.2,2390,12.3,4.8,3.86,0.0,0.0,1.0
614,129,1.0,0.208,4.0,12.0,0.9,2700,14.1,0.208,8.669999999999998,0.0,1.0,0.0
833,166,1.0,0.208,4.0,12.0,0.9,2700,12.9,0.208,8.669999999999998,0.0,1.0,0.0
1676,294,4.0,1.2,16.0,10.0,0.9,2200,8.5,4.8,7.27,0.0,0.0,1.0
1511,221,4.0,1.2,8.0,5.0,0.9,1830,9.2,4.8,3.77,0.0,1.0,0.0
3055,401,4.0,1.875,64.0,16.0,8.0,3000,7.4,7.5,13.6,0.0,0.0,1.0
3260,401,8.0,2.2,64.0,20.0,20.0,3000,6.8,17.6,20.0,0.0,0.0,1.0
3116,401,8.0,1.5,64.0,13.0,16.0,3200,7.3,12.0,13.899999999999999,0.0,0.0,1.0
2392,282,8.0,1.4,32.0,13.0,16.0,2900,7.7,11.2,13.899999999999999,0.0,0.0,1.0
1749,233,2.0,1.3,4.0,3.15,1.2,1700,9.9,2.6,2.5649999999999995,0.0,1.0,0.0
2087,294,4.0,1.3,32.0,8.0,5.0,2450,7.6,5.2,7.1,0.0,0.0,1.0
2571,306,4.0,1.2,16.0,8.0,5.0,2000,5.1,4.8,7.1,0.0,1.0,0.0
2137,401,4.0,2.3,16.0,16.0,8.0,2500,9.5,9.2,13.6,0.0,0.0,1.0
2859,515,4.0,1.875,64.0,12.0,5.0,3500,7.9,7.5,9.899999999999999,1.0,0.0,0.0
2977,577,8.0,2.3,32.0,12.0,5.0,3000,7.9,18.4,9.899999999999999,0.0,0.0,1.0
3005,515,8.0,1.8,32.0,16.0,5.0,3000,7.6,14.4,12.7,1.0,0.0,0.0
2654,386,8.0,1.55,32.0,16.0,5.0,3050,5.9,12.4,12.7,0.0,0.0,1.0
